chain,plu,product_name,status,rank,recipe_id,recipe_title,score,missing_components,extra_components,missing_recipe_ingredients,mixed_ingredient_groups,review_reasons,source_url
perekrestok,3468685,"Килька Вкусные Консервы неразделанная обжаренная в томатном соусе, 240г",review,1,foodru_3177,Томатный соус,0.4671,"kilk, konserv, nerazdelanna, obzharenna",,,,"missing_named_components, low_name_score",https://food.ru/recipes/3177-tomatnyi-sous
perekrestok,3468685,"Килька Вкусные Консервы неразделанная обжаренная в томатном соусе, 240г",review,2,foodru_103448,Соус «Помидорка»,0.4671,"kilk, konserv, nerazdelanna, obzharenna",,,,"missing_named_components, low_name_score",https://food.ru/recipes/103448-sous-pomidorka
perekrestok,3468685,"Килька Вкусные Консервы неразделанная обжаренная в томатном соусе, 240г",review,3,foodru_71170,Домашний рецепт томатного соуса,0.4671,"kilk, konserv, nerazdelanna, obzharenna",,,,"missing_named_components, low_name_score",https://food.ru/recipes/71170-domashnii-recept-tomatnogo-sousa
perekrestok,3469704,"Шпроты Вкусные Консервы в масле, 175г",review,1,foodru_81150,"Яйца, фаршированные консервами из шпрот",0.6963,oil,"aica, meat",,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/81150-jaica-farshirovannye-konservami-iz-shprot
perekrestok,3469704,"Шпроты Вкусные Консервы в масле, 175г",review,2,foodru_102024,Салат на скорую руку из рыбных консервов со шпротами,0.6492,oil,"ruku, rybnyh, skoru",,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/102024-salat-na-skoruiu-ruku-iz-rybnyh-konservov-so-shprotami
perekrestok,3469704,"Шпроты Вкусные Консервы в масле, 175г",review,3,foodru_207563,Брускетты со шпротами и маслинами,0.6072,konserv,bruskett,,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/207563-brusketty-iz-shprot-s-maslinami-1706043720
perekrestok,3475329,"Шпроты Вкусные Консервы в масле, 160г",review,1,foodru_81150,"Яйца, фаршированные консервами из шпрот",0.6963,oil,"aica, meat",,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/81150-jaica-farshirovannye-konservami-iz-shprot
perekrestok,3475329,"Шпроты Вкусные Консервы в масле, 160г",review,2,foodru_102024,Салат на скорую руку из рыбных консервов со шпротами,0.6492,oil,"ruku, rybnyh, skoru",,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/102024-salat-na-skoruiu-ruku-iz-rybnyh-konservov-so-shprotami
perekrestok,3475329,"Шпроты Вкусные Консервы в масле, 160г",review,3,foodru_207563,Брускетты со шпротами и маслинами,0.6072,konserv,bruskett,,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/207563-brusketty-iz-shprot-s-maslinami-1706043720
perekrestok,3497737,"Риет Меридиан пикантный из скумбрии, 100г",review,1,foodru_30157,Риет «Меридиан»,0.6196,"pikant, skumbri",,,,"dish_family_unconfirmed, missing_named_components, low_name_score",https://food.ru/recipes/30157-riet-meridian
perekrestok,3497737,"Риет Меридиан пикантный из скумбрии, 100г",review,2,foodru_16559,Риет из скумбрии,0.6004,"meridan, pikant",,,,"dish_family_unconfirmed, missing_named_components, low_name_score",https://food.ru/recipes/16559-riet-iz-skumbrii
perekrestok,3497737,"Риет Меридиан пикантный из скумбрии, 100г",review,3,foodru_229067,Пикантный салат с сыром,0.2956,"meridan, riet, skumbri",cheese,,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/229067-pikantnyi-salat-s-syrom-liebendorf-1726576823
perekrestok,3503292,"Шпроты За Родину из балтийской кильки в масле, 160г",review,1,foodru_157992,Вкусные домашние шпроты из кильки,0.7603,rodin,,,,"dish_family_unconfirmed, missing_named_components",https://food.ru/recipes/157992-vkusnye-domashnie-shproty-iz-kilki-1674649650
perekrestok,3503292,"Шпроты За Родину из балтийской кильки в масле, 160г",review,2,foodru_207563,Брускетты со шпротами и маслинами,0.592,"kilk, rodin",bruskett,,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/207563-brusketty-iz-shprot-s-maslinami-1706043720
perekrestok,3503292,"Шпроты За Родину из балтийской кильки в масле, 160г",review,3,foodru_118880,Салат с килькой в томатном соусе,0.3608,"oil, rodin, shprot",tomato,,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/118880-salat-s-kilkoi-v-tomatnom-souse
perekrestok,3507133,"Скумбрия Доброфлот дальневосточная натуральная в масле, 245г",review,1,foodru_75608,Скумбрия с кунжутным маслом,0.58,"dalnevostochna, dobroflot, naturalna",kunzhut,,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/75608-skumbrija-s-kunzhutnym-maslom
